tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Cayden Wang,3/4,NCA,9,1,1,Winner
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Rishabh Praveen,3/4,NCA,24,2,2,Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Carsten Lam,1,NCA,1,3,3,Semi Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Prathik Nemani,WC,NCA,28,4,4,Semi Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Jacob Zhou,WC,NCA,5,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Kenneth Wu,,NCA,16,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Johnny Chen,,WA,17,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Ryan Chun,2,WA,32,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Bhavesh SAI VARMA Tammu,,TX,7,9,16,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Nathan Lee,,TX,22,9,16,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Vihaan Darbha,,NC,26,9,16,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Derek Li,,NCA,3,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,William Geng,,WA,8,17,32,Round 1
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Edwin Huang,,WA,11,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Kayden Hossain,,NCA,13,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Nathaniel Volfbeyn,WC,WA,15,17,32,Round 1
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Rex Hong,,NCA,18,17,32,Round 1
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Zuhao Fan,WC,SCA,20,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Landon Ling,,NCA,21,17,32,Round 1
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Haochen Zhang Li,,NCA,25,17,32,Round 1
2021 HPBC NW ORC,2021-12-18/2021-12-20,BS U11,Areen Pradhan,,NCA,30,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Sophia Sun,WC,NCA,25,1,1,Winner
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Selena Wei,,SCA,3,2,2,Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Lexuan Wen,3/4,NCA,9,3,3,Semi Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Vivian Feng,3/4,NJ,24,4,4,Semi Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Mihika Jaiswal,WC,NCA,7,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Celine Ao,,WA,15,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Abhigna Parvathaneni,,NCA,18,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Renee R.Y. Leung,2,NCA,32,5,8,Quarter Finals
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Nandika Menon,1,WA,1,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Sahasra Reddy,,NCA,5,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Ananya Medhaa Marella,,WA,11,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Saanya Sreenivas,WC,NCA,13,17,32,Round 2
2021 HPBC NW ORC,2021-12-18/2021-12-20,GS U11,Janice Chen,,NCA,16,17,32,Round 1
