tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Rithik Rasamsetti,,NC,13,1,1,Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Terence Cai,1,CA,1,2,2,Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Luke Han,WC,IL,10,3,3,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Anthony Cheng Xu,,TX,5,4,4,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Seth Li,2,NJ,16,5,5,C:Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Srineet Atluri,,NC,4,6,6,C:Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Jonathan Wu,WC,NJ,6,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Kayden Hossain,,CA,8,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Cayden Wang,,CA,3,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Jonathan Yu,,TX,11,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Neel J Reddy,,TX,12,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Anish Sai Gunupudi,,NC,14,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Tanay Kankanala,,NC,7,13,16,C:Round 1
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,BS U11,Dhiraj Praveen,,NC,9,13,16,C:Round 1
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Joanne Li,,NC,13,1,1,Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Kimaya Krishna,1,VA,1,2,2,Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Vivian Feng,,NJ,5,3,3,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Cindy Zhou,WC,WA,9,4,4,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Tvisha Modi,2,TX,16,5,5,C:Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Lexuan (Sophia) Wen,,CA,3,6,6,C:Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Mihika Jaiswal,,CA,6,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Renee R.Y. Leung,WC,CA,8,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Ivey X. Bao,,TX,4,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Alice Meng,,CA,10,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Celine Ao,,WA,12,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Mithra Sellammal Raja,,TX,14,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Dhvani Shankar,,GA,7,13,16,C:Round 1
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Norah George,,IL,11,13,16,C:Round 1
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GS U11,Shrivaishnavi Jami,,CA,15,13,16,C:Round 1
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Rithik RasamsettiJoanne Li,,NCNC,12,1,1,Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Seth Li [1]Kimaya Krishna,,NJVA,1,2,2,Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Terence Cai [2]Mihika Jaiswal,,CACA,16,3,3,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Jonathan Yu [WC]Ivey X. Bao,,TXTX,7,4,4,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Neel J Reddy [WC]Tvisha Modi,,TXTX,10,5,5,C:Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Jonathan WuVivian Feng,,NJNJ,3,6,6,C:Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Cayden WangMithra Sellammal Raja,,CATX,9,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Kayden HossainLexuan (Sophia) Wen,,CACA,14,7,8,C:Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,XD U11,Luke HanAlice Meng,,ILCA,5,9,12,C:Quarter Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 1-4,Kimaya KrishnaTvisha Modi,,VATX,1,1,1,Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 1-4,Mihika JaiswalLexuan (Sophia) Wen,,CACA,3,2,2,Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 1-4,Celine AoCindy Zhou,,WAWA,4,3,3,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 1-4,Vivian FengJosephine Yao,,NJNJ,2,4,4,Semi Finals
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 5-8,Ivey X. BaoDhvani Shankar,,TXGA,4,1,1,Winner
2021 U.S. Junior Nationals,2021-06-21/2021-06-28,GD U11 - Position 5-8,Shrivaishnavi JamiMithra Sellammal Raja,,CATX,1,2,2,Finals
