tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2021 NW CRC,2021-11-20/2021-11-21,BS U11,Johnny Chen,,WA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BS U11,Nathaniel Volfbeyn,,WA,4,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U11,Edwin Huang,,WA,2,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U11,Ryan Chun,,WA,3,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U11,Stephanie Jiayi Song,,WA,3,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,GS U11,Iris Yuchen Mei,,WA,2,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U11,Celine Ao,,WA,1,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U11,Cindy Zhou,2,WA,4,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Ben Zhao,,WA,7,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Yunshang Chen,,WA,9,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Isaac Zhao,1,WA,1,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Rithvik Sachith,2,WA,16,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Mang Ki Cheung,,WA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Kingsley Chong,WC,WA,5,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Michael Gong,,OR,8,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Stanley Jiaye Song,,WA,10,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Devin Shao,WC,WA,12,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U13,Darren C Tse,,WA,14,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U13,Sylvia Yuqing Mei,,WA,4,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,GS U13,Vivian Jiayue Song,,WA,1,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U13,Shuoan Xiang,,WA,3,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U13,Jocelyn Zhang,,WA,2,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Daniel Seungchan Park [1]Sylvia Yuqing Mei,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Ben ZhaoCeline Ao,,WAWA,9,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Stanley Jiaye SongShuoan Xiang,,WAWA,14,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Mang Ki Cheung [WC]Jocelyn Zhang,,WAWA,5,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Darren C TseTingchu Gao,,WAWA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Reilly NganAnya Kuan,,WAWA,7,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Yunshang ChenHita Barna Ravindra,,WAOR,10,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Michael Gong [WC]Daby Huang,,OROR,12,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U13,Isaac Zhao [2]Vivian Jiayue Song,,WAWA,16,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U13,Daniel Seungchan ParkDevin Shao,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BD U13,Ben ZhaoIsaac Zhao,,WAWA,4,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U13,Yunshang ChenMichael Gong,,WAOR,2,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U13,Mang Ki CheungStanley Jiaye Song,,WAWA,3,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Mitchell Purnomo,2,WA,32,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Ian Yiyang Jia,WC,WA,14,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Daniel Seungchan Park,1,WA,1,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Kelvin Zhang,3/4,WA,24,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Hanwen Yuan,,WA,8,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Alex Anlai Song,3/4,WA,9,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Yushen Li,,WA,19,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Jinyu Liu,WC,WA,28,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Sean Choudhury,,WA,4,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Nicholas Volfbeyn,,WA,12,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Dennis Shao,,WA,16,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Sizhe Chen,WC,WA,18,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Leon Wang,,WA,22,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Tyler Xingfei Chen,,WA,25,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Lee Xianhao Song,,WA,30,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Lucas Yuting Lin,,WA,3,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Ethan YS Ao,WC,WA,5,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Karthik Abhinav Javvadi,,WA,7,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Vidhyuth Baluraj Nair,,WA,11,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Bhavesh Meruva,,WA,13,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Shimon Keselman,,WA,15,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Amogh Atreya,,WA,17,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Sean Ji,,OR,20,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Arthur Zhu,,WA,21,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Aidan Francis,,WA,26,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U15,Aadi Agrawal,,WA,29,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Coco Cenke Tao,WC,WA,9,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Hansika - Malladi,1,WA,1,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Linda Zhao,2,WA,16,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Zimeng Zhou,,WA,6,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Julia Ruan,,WA,3,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Peony Cao,,WA,8,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Abbie Chen,,WA,11,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Elizabeth Hu,,WA,13,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Callie Tse,,WA,4,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Madhumitra Kethini,WC,WA,5,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Laura Huang,,OR,7,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Elise Wenxin Xu,,WA,10,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Avery Ji,,OR,12,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U15,Shivali Panda,,WA,14,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Jay Chun [2]Coco Cenke Tao,,WAWA,16,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Mitchell Purnomo [1]Hansika - Malladi,,WAWA,1,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Alex Anlai Song [WC]Linda Zhao,,WAWA,5,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Jinyu Liu [WC]Elizabeth Hu,,WAWA,12,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Nicholas VolfbeynJulia Ruan,,WAWA,7,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Ian Yiyang JiaPeony Cao,,WAWA,9,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Hanwen YuanAbbie Chen,,WAWA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Sean JiLaura Huang,,OROR,8,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Lee Xianhao SongAvery Ji,,WAOR,10,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,XD U15,Ethan YS AoZimeng Zhou,,WAWA,14,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Mitchell Purnomo [1]Alex Anlai Song,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Ethan YS AoSizhe Chen,,WAWA,13,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Ian Yiyang Jia [WC]Hanwen Yuan,,WAWA,5,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Lucas Yuting LinLee Xianhao Song,,WAWA,9,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Sean ChoudhuryNicholas Volfbeyn,,WAWA,8,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Vidhyuth Baluraj NairBhavesh Meruva,,WAWA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Tyler Xingfei ChenJinyu Liu,,WAWA,7,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Aidan Francis [WC]Karthik Abhinav Javvadi,,WAWA,10,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Aadi AgrawalArthur Zhu,,WAWA,12,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Dennis ShaoLeon Wang,,WAWA,14,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BD U15,Yushen Li [2]Kelvin Zhang,,WAWA,16,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GD U15,Coco Cenke TaoLinda Zhao,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,GD U15,Hansika - MalladiSylvia Yuqing Mei,,WAWA,4,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,GD U15,Abbie ChenZimeng Zhou,,WAWA,3,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GD U15,Elizabeth HuJulia Ruan,,WAWA,2,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Jay Chun,1,WA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BS U17,David Purnomo,3/4,WA,24,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Ethan Do,2,WA,32,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,David Zuo,3/4,WA,9,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Anirudh Rajesh,,WA,8,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Thomas Wang,,OR,16,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Shloak Kulkarni,WC,WA,20,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Avinash Konapala,,WA,26,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Tom NONE Yin,,WA,18,9,16,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Tim Yangting Lin,,WA,3,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,John Lu,WC,WA,5,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Jonahs Savage-Leuchs,,WA,7,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Ryan Choudhury,,WA,11,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Louis N Thai,WC,WA,13,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Ishaan Panda,,WA,15,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Rudra Gaikwad,,WA,17,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Leonard Wang,,OR,22,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Haoyang Peter Shen,,WA,25,17,32,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Jason H Lee,WC,WA,28,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,BS U17,Jonathan Liu,,WA,30,17,32,Round 2
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Yuxuan Lin,1,WA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Yoyi Liao,WC,WA,12,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Geethika Menon,2,WA,16,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Mary Zhao,WC,WA,7,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Sophia Zhang,,WA,10,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Annika Choi,,WA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Nancy Qu,,WA,5,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Tharika Yamini,,WA,8,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Macy Gong,,OR,9,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,GS U17,Wenjuan Zou,,WA,14,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U17,David ZuoYuxuan Lin,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,XD U17,David PurnomoMary Zhao,,WAWA,4,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U17,Thomas WangTharika Yamini,,ORWA,2,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U17,Anirudh RajeshMadhumitra Kethini,,WAWA,3,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,David Purnomo [WC]Thomas Wang,,WAOR,5,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Ethan Do [1]David Zuo,,WAWA,1,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Jay Chun [2]Shloak Kulkarni,,WAWA,8,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Anirudh Rajesh [WC]Louis N Thai,,WAWA,4,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Tim Yangting LinHaoyang Peter Shen,,WAWA,2,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Ryan ChoudhuryTom NONE Yin,,WAWA,3,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Rudra GaikwadIshaan Panda,,WAWA,6,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U17,Jonathan LiuLeonard Wang,,WAOR,7,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Nicholas Chiu,1,OR,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Partha Teja Malladi,2,WA,16,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Allen George,WC,WA,5,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,James Lai,WC,WA,12,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Ethan Bai,,WA,8,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Isaac Zhang,,WA,10,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Henry Xue,,WA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Jason Liao,,WA,7,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Leo Shuoren Xiang,,WA,9,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,BS U19,Ishaan Kapil,,WA,14,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Nicholas Chiu [2]Angela Song,,ORWA,16,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Partha Teja Malladi [WC]Sanskruti Kulkarni,,WAWA,5,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Allen George [WC]Jeslyn Chen,,WAWA,12,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Justin Wei-Kang Wan [1]Angela Chiang,,WAWA,1,4,4,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Wesley J RenHannah May Chen,,ORWA,10,5,8,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,James LaiMichelle Gong,,WAWA,3,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Ethan BaiYuet Ki Cheung,,WAWA,7,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Jason LiaoYoyi Liao,,WAWA,9,9,16,Round 1
2021 NW CRC,2021-11-20/2021-11-21,XD U19,Henry XueAmie Rui,,WAWA,14,9,16,Quarter Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U19,Allen GeorgePartha Teja Malladi,,WAWA,1,1,1,Winner
2021 NW CRC,2021-11-20/2021-11-21,BD U19,John LuJustin Wei-Kang Wan,,WAWA,4,2,2,Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U19,Ishaan KapilAvinash Konapala,,WAWA,2,3,3,Semi Finals
2021 NW CRC,2021-11-20/2021-11-21,BD U19,Ethan BaiHenry Xue,,WAWA,3,4,4,Semi Finals
