tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Cayden Wang,2,USBA,32,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Kenneth Wu,,CBA,16,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Carsten Lam,1,BIN,1,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Mikael Chang,,BIN,20,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Tao Peng,,CBA,5,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Kayden Hossain,3/4,BIN,9,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Prathik Nemani,3/4,BIN,24,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Areen Pradhan,,BIN,25,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Pranav Vijay,,BIN,7,9,16,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Vishnu A,,EBC,18,9,16,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Rex Hong,,BIN,3,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Jaylen Zhou,,EBC,8,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Landon Ling,,BIN,11,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Haochen Zhang Li,,CBA,13,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Jaden Wang,,BIN,15,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Justin Lim,,BIN,17,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Mahir s Modi,,CBA,22,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Derek Li,,CBA,26,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Hardik Gowrish,,BIN,28,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U11,Charlie Wangning Gao,,EBC,30,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Sophia Sun,3/4,USBA,24,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Lexuan Wen,1,USBA,1,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Mihika Jaiswal,2,SYN,32,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Alice Meng,WC,SYN,13,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Abhigna Parvathaneni,,BIN,5,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Saanya Sreenivas,3/4,BIN,9,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Michelle Yourong Zhang,,CBA,18,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Sahasra Reddy,,USBA,26,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Saee Thorat,,CBA,16,9,16,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Anya Virmani,,SYN,3,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Janice Chen,,EBA,7,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Myra Bhavsar,,EBC,11,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Sanjanaa V Priya,,BIN,15,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Netri Vasireddy,,BIN,17,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Sophia Liu,,BIN,20,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Anvita V Pai,,BIN,22,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Shrivaishnavi Jami,WC,BIN,25,17,32,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Srindu Manne,,BIN,28,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,GS U11,Shirin Shaik,,BIN,30,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Cayden Wang [2]Lexuan Wen,,USBAUSBA,16,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Carsten Lam [1]Sophia Sun,,BINUSBA,1,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Kenneth WuMichelle Yourong Zhang,,CBACBA,10,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Areen Pradhan [WC]Sahasra Reddy,,BINUSBA,5,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Hardik GowrishNetri Vasireddy,,BINBIN,4,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Haochen Zhang LiMihika Jaiswal,,CBASYN,7,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Mikael ChangAlice Meng,,BINSYN,13,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Jaylen ZhouSophia Liu,,EBCBIN,3,9,16,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Jaden WangShrivaishnavi Jami,,BINBIN,8,9,16,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Derek LiJanice Chen,,CBAEBA,9,9,16,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Kayden Hossain [WC]Saanya Sreenivas,,BINBIN,12,9,16,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,XD U11,Prathik NemaniAbhigna Parvathaneni,,BINBIN,14,9,16,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BD U11,Mikael Chang [2]Kayden Hossain,,BINBIN,4,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,BD U11,Prathik Nemani [1]Areen Pradhan,,BINBIN,1,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BD U11,Derek LiMahir s Modi,,CBACBA,2,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BD U11,Haochen Zhang LiTao Peng,,CBACBA,3,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Mihika Jaiswal [1]Lexuan Wen,,SYNUSBA,1,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Alice Meng [2]Sophia Sun,,SYNUSBA,8,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Sahasra Reddy [WC]Saanya Sreenivas,,USBABIN,4,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Shrivaishnavi Jami [WC]Abhigna Parvathaneni,,BINBIN,5,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Janice ChenSanjanaa V Priya,,EBABIN,2,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Anvita V PaiShirin Shaik,,BINBIN,3,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Saee ThoratMichelle Yourong Zhang,,CBACBA,6,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,GD U11,Netri VasireddyAnya Virmani,,BINSYN,7,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Arush Shyam Chitgopkar,1,BIN,1,1,1,Winner
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Kevin Zhang,5/8,USBA,56,2,2,Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Andy Xu Zhang,3/4,SYN,17,3,3,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Tsun Him Lam,WC,USBA,36,4,4,Semi Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Yifan Liu,5/8,USBA,9,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Prajwal Avadhani,,BIN,27,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Jayden Mar,,BIN,46,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Manas Chintala,WC,BIN,57,5,8,Quarter Finals
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Mi Michael Liu,WC,SYN,7,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Allen w Yang,WC,CBA,15,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Leheng Xu,WC,USBA,24,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Clay Yang,WC,CBA,32,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Aagnaey Gulla Pulijal,5/8,SYN,40,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Aryan Mohan,,BIN,42,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Alex Wen,,USBA,50,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Krish Raja,2,CBA,64,9,16,Round 3
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Vignesh Jami,,BIN,33,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Yichen Li,,CBA,37,17,32,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Benjamin Zhuge,,USBA,3,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Qicheng Yang,,BIN,5,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Shreyas Reddy,,USBA,8,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Nishaant Anumolu,,BIN,11,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Manav Patel,,EBC,13,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Morgan Li,,BIN,16,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Siddharth Vippagunta,,BIN,19,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Justin Liaw,,CBA,21,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Shaurya Sharma,,BIN,23,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Terence Cai,5/8,BIN,25,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Andy W Gao,,EBC,28,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Shriariman Karthigayan,,BIN,29,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Aaron Liao,,USBA,31,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Kehong Ng,,BBC,34,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Kezhen Tao,,BIN,38,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Andrew Yu,,EBC,41,33,64,Round 1
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,You Yang Li,WC,EBA,44,33,64,Round 2
2021 NorCal CRC,2021-11-11/2021-11-14,BS U13,Uddhav Kasarabada,3/4,BIN,48,33,64,Round 2
