tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Jack Richards,,IL,13,1,1,Winner
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Steven Lei,1,IL,1,2,2,Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Brighton Yu,,IL,12,3,3,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Aarav Piyush Jaiswal,,IL,7,4,4,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Nathan Chu,,IL,9,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Vivaan Khullar,,IL,3,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Lukas Ye,,MN,5,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Nathan Huang,,MN,8,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Vishwajeeth Madhavan,,IL,10,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Joseph Yedediyah Pohan,,IL,14,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U11,Siddharth Gummadi,2,IL,16,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Hanyi Lei,1,IL,1,1,1,Winner
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Charvi Srivastava,,IL,5,2,2,Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Ivy Chang,,IL,7,3,3,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Catherine Yike Du,,IL,3,4,4,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Elena Zhang,,IL,2,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Rachel Yuezhi Xu,,IL,4,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Amy Zhao,,IN,6,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U11,Chelsie Cheng,2,IL,8,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Ketan Dubey,1,IL,1,1,1,Winner
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Luke Han,2,IL,16,2,2,Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Pranav Gyajangi,,IL,7,3,3,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Justin John George,,IL,12,4,4,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Kerrick Linn Hu,,IL,9,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Edison Lin,,IL,3,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Agastya Kalal,,IL,5,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Jimmy Yu,,IL,8,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Philip Du,,IL,10,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,BS U13,Melvin Cui,,IL,14,9,16,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Clarinda Jin,1,IL,1,1,1,Winner
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Sraavya Aduri,,IL,15,2,2,Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Erica Lin,,IL,10,3,3,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Allison Y Zhao,,IL,8,4,4,Semi Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Kennis He,,IL,4,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Tianrui Peng,,IL,5,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Sophie Hou,,IL,12,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Sri Nidhi Vasamsetti,,IL,13,5,8,Quarter Finals
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Ridha Ahamed Mansoor,,IL,3,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Paige Xu,,IL,6,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Ananthaa Nagarajan,,IL,7,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Kaitlyn Kim,,IL,9,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Nithya Padmanabhan,,IL,11,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Eekshitha Namballa,,IL,14,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,GS U13,Olivia Ye,2,MN,16,9,16,Round 1
2022 Egret Midwest CRC,2022-12-03/2022-12-04,XD U13,Steven LeiAllison Y Zhao,,ILIL,1,1,1,Winner
