tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Ethan Qiu,,NJ,1,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Aditya Namboodiripad,,VA,11,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Zisheng Fan,,MA,14,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Leon Luo,,NJ,7,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Kevin Xie,,MD,4,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Henry Tan,,NJ,9,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Oliver Helix Kostro,,NY,3,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Matthew Kuan Luo,,NY,5,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Evan Huang,,NY,8,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Wayne Chien,,NY,10,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Justin Dong,,NJ,12,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Jonathan Cai,,,13,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U11,Liam Xiao,,NJ,16,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Lilian Feng,,NJ,7,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Tanvi Yanala,,VA,3,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Rithvika Santhakumar,,VA,2,3,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Sitar Nainish Sanghani,,PA,6,3,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Adriel Ammy Chandran,,NJ,1,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Crystal Yao,,NJ,4,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Niyati Tamerissi,,VA,5,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U11,Ruohan Joy Du,,VA,8,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Seth Li,1,NJ,1,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Noah Chien,3/4,MD,24,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Alexander Gu,3/4,NJ,9,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Jonathan Wu,2,NJ,32,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Matthew Xu,,NJ,7,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Trilochan Janakiraman,WC,NJ,13,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Vihaan Reddy Cherlakola,,NJ,17,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Pascal Marcus Kostro,,NY,25,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Xi Cao,,MD,15,9,16,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Michael Li,,NY,3,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Siddhanth Selvanathan,,VA,5,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Thomas Cui,,MA,11,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Jiahao Chen,,VA,16,17,32,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Kavin Elangovan,,CT,18,17,32,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Tengke Qiu,,NY,20,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Shreyan Reddy Bypureddy,,NJ,22,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Ishaan Mohapatra,,NJ,26,17,32,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Ryan Shih,,MA,28,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,BS U13,Akhilan Sakthivel,,VA,30,17,32,Round 2
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Kimaya Krishna,1,VA,1,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Megha Reddy Challa,,NJ,9,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Jessica Zhang,WC,MA,5,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Ruthwa Yathish Kambala,2,CT,16,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Iris Gao,,NJ,3,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Adonia Anny Chandran,,NJ,7,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Emily Min Tang,,VA,10,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Vivian Feng,WC,NJ,12,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GS U13,Elena Chen,,NJ,14,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,XD U13,Seth Li [1]Kimaya Krishna,,NJVA,1,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,XD U13,Alexander GuMegha Reddy Challa,,NJNJ,4,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,XD U13,Jonathan Wu [2]Vivian Feng,,NJNJ,2,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,XD U13,Trilochan JanakiramanElena Chen,,NJNJ,3,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Seth Li [1]Jonathan Wu,,NJNJ,1,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Noah Chien [2]Alexander Gu,,MDNJ,16,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Trilochan Janakiraman [WC]Ishaan Mohapatra,,NJNJ,12,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Aditya NamboodiripadSiddhanth Selvanathan,,VAVA,5,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Michael LiTengke Qiu,,NYNY,10,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Pascal Marcus KostroAkhilan Sakthivel,,NYVA,3,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Shreyan Reddy BypureddyVihaan Reddy Cherlakola,,NJNJ,7,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Xi CaoJiahao Chen,,MDVA,9,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BD U13,Thomas CuiZisheng Fan,,MAMA,14,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,GD U13,Megha Reddy Challa [2]Kimaya Krishna,,NJVA,4,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,GD U13,Vivian Feng [1]Josephine Yao,,NJNJ,1,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,GD U13,Emily Min TangJessica Zhang,,VAMA,2,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,GD U13,Elena ChenIris Gao,,NJNJ,3,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Yihao Zeng,,NJ,13,1,1,Winner
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Zeyue Du,,VA,7,2,2,Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Saatvik B. Sunilraj,WC,VA,12,3,3,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Ethan Chen,,NJ,3,4,4,Semi Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Saatvik Dinesh,,NJ,10,5,8,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Aditya Agarwal,1,VA,1,9,16,Quarter Finals
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Ricky Deng,,NY,4,9,16,Round 1
2022 NE CRC,2022-02-12/2022-02-13,BS U15,Benjamin Yao,WC,NJ,5,9,16,Quarter Finals
