tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Steven Li,,WA,4,1,1,Winner
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Jaden D'Souza,,WA,5,2,2,Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Ryan Chu,,WA,7,3,3,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Akhil Chendur,,WA,2,4,4,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Wilson Chen,,OR,1,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Yunqi Chen,,WA,3,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Kabir Madiman,,WA,6,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U11,Terrance Xie,,OR,8,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,GS U11,Marissa Zhang,1,WA,1,1,1,Winner
2022 NW Oregon OLC,2022-05-07/2022-05-08,GS U11,Grace Eunhye Park,,WA,3,2,2,Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,GS U11,Anisha Rajesh,2,WA,4,3,3,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,GS U11,Spriha Garg,,OR,2,4,4,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Clay Yang,1,NCA,1,1,1,Winner
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Yichen Li,2,NCA,32,2,2,Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Stanley Jiaye Song,,WA,20,3,3,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,William Geng,,WA,13,4,4,Semi Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Kingsley Chong,,WA,5,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Ryan Chun,4,WA,9,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Johnny Chen,3,WA,24,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Ben Zhao,,WA,28,5,8,Quarter Finals
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Branden Huang,,OR,18,9,16,Round 2
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Garv Pattani,,OR,3,17,32,Round 2
2022 NW Oregon OLC,2022-05-07/2022-05-08,BS U13,Albert Wang,,OR,7,17,32,Round 2
