tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Phillip You,1,,1,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Yian Yang,,California,13,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Linus Yong,,CA,7,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Devon Wong,,,12,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Andy Vicent Korlann,,CA,3,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Eddie Sun,,CA,5,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Sidharth Aswath,,CA,9,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Ethan Yip Ly,2,CA,16,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Eric Shunqi Liu,,CA,4,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Eason Chin,,,6,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Jayden Su,,CA,8,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Bliss Liu,,California,10,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Spencer L Lin,,CA,11,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Ching Chun Fan,,California,14,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U11,Torrance Yu,,,15,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Katherine F Xu,WC,CA,5,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Nityaa Jaiswal,1,,1,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Bella Liu,,CA,4,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Xintong Jiang,2,CA,8,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Cheree Leung,,California,2,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Cindy Li,,CA,3,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Tracy Yu,,California,6,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U11,Zoe Wu,,CA,7,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U11,Phillip YouBella Liu,,CA,1,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U11,Andy Vicent Korlann [1]Nityaa Jaiswal,,CA,3,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U11,Ching Chun FanCheree Leung,,CaliforniaCalifornia,2,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U11,Ethan Yip Ly [2]Xintong Jiang,,CACA,4,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U11,Andy Vicent KorlannDevon Wong,,CA,1,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U11,Ching Chun Fan [1]Ethan Yip Ly,,CaliforniaCA,3,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U11,Jayden SuEddie Sun,,CACA,4,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U11,Sidharth AswathEason Chin,,CA,2,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Gavin Le,WC,,5,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Ethan Wu,2,,16,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Atticus ZhiRong Yong,,CA,11,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Christopher Gunawan,,CA,4,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Timothy Yung-An Chuang,,California,7,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Jonathan Yung-Nien Chuang,,California,10,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Zuhao Fan,,California,13,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Jacob Zhou,1,CA,1,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Lewi Chin,,,3,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Daniel Xie,,CA,8,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Veera Kalakota,WC,California,9,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Jason Yanxun Pu,,California,12,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U13,Eric Mu,,California,14,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Renee Leung,2,California,16,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Angela Wang,,ca,5,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Selena Wei,1,CA,1,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Felicia Ho,WC,California,10,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Qinxian Zhu,,CA,3,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Bernice Xu,WC,CA,7,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Lanting Jiang,,CA,9,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Shivani Ramakrishnan,,,12,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,GS U13,Sarah Wijaya,,CA,14,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Gavin Le [WC]Angela Wang,,ca,4,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Ethan WuRenee Leung,,California,6,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Jacob Zhou [1]Selena Wei,,CACA,1,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Veera Kalakota [2]Bernice Xu,,CaliforniaCA,8,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Daniel XieSarah Wijaya,,CACA,2,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Lewi ChinShivani Ramakrishnan,,,3,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Zuhao Fan [WC]Felicia Ho,,CaliforniaCalifornia,5,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,XD U13,Devon WongLanting Jiang,,CA,7,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U13,Gavin LeEthan Wu,,,1,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U13,Zuhao Fan [2]Jacob Zhou,,CaliforniaCA,4,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U13,Atticus ZhiRong YongLinus Yong,,CACA,2,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BD U13,Jonathan Yung-Nien ChuangTimothy Yung-An Chuang,,CaliforniaCalifornia,3,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Jaxton Zhang,,,10,1,1,Winner
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Xinyang Peng,WC,California,8,2,2,Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Jaden Ke Hong Chen,,,14,3,3,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Hao Lin,1,ca,1,4,4,Semi Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Evan Mu,,CA,4,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Anson Chen,,CA,11,5,8,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Felix Veeraraj,,California,3,9,16,Round 1
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Dean Tang,,,5,9,16,Quarter Finals
2022 SoCal Arena CRC,2022-03-12/2022-03-13,BS U15,Lucas An,,CA,7,9,16,Round 1
