tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Jacob Zhou,2,SCA,32,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Srineet Atluri,,NC,11,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Varish Karri,1,TX,1,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Taneesh Musunuru,,GA,17,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Adhip Sundar,,GA,8,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Bivab Chandra,,GA,13,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Vihaan Darbha,,NC,22,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Ketan Dubey,,IL,26,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Yeewei Yap,,TX,15,9,16,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Haochen Zhang Li,,NCA,3,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Zisheng Fan,,MA,5,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Zayn Arman Nallaguntla,,TX,7,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Nihal Reddy Gajjala,,TX,9,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Ethan Qiu,,NJ,12,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Melvin Cui,,IL,16,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Kayden Hossain,,NCA,18,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Darsh Sree Gadepalli,,TX,20,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Shreyas Yarlagadda,,TX,21,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Siddharth Gummadi,3/4,IL,24,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Sai Ratan Shankar,,GA,25,17,32,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Krishiv Devgun,,TX,28,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U11,Yohaan Joshi,,TX,30,17,32,Round 2
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Sophia Sun,2,NCA,16,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Lexuan Wen,1,NCA,1,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Alice Meng,,NCA,5,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Mithra Senthil Raja,,TX,12,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Adriel Ammy Chandran,,NJ,3,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Alekhya Jalwadi,,TX,7,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Shraddha Prakash,,TX,9,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Lilian Feng,,NJ,14,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Chingpei Lin,,TX,4,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Nityaa Jaiswal,WC,SCA,8,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Sahasra Reddy,,NCA,10,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Janice Chen,,NCA,11,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,GS U11,Veda Lekkala,,TX,13,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Jacob Zhou [1]Lexuan Wen,,SCANCA,1,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Kayden Hossain [2]Sahasra Reddy,,NCANCA,16,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Ketan DubeyJanice Chen,,ILNCA,5,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Ethan QiuAdriel Ammy Chandran,,NJNJ,10,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Nihal Reddy GajjalaAlekhya Jalwadi,,TXTX,7,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Varish KarriMithra Senthil Raja,,TXTX,3,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Zisheng FanVeda Lekkala,,MATX,8,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Taneesh MusunuruNityaa Jaiswal,,GASCA,9,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Yohaan JoshiShraddha Prakash,,TXTX,12,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,XD U11,Yeewei YapChingpei Lin,,TXTX,14,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Srineet Atluri [WC]Varish Karri,,NCTX,8,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Ethan Qiu [2]Jacob Zhou,,NJSCA,16,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Melvin CuiKetan Dubey,,ILIL,12,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Siddharth Gummadi [1]Sai Ratan Shankar,,ILGA,1,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Bivab ChandraTaneesh Musunuru,,GAGA,9,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Nihal Reddy GajjalaYohaan Joshi,,TXTX,3,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Darsh Sree GadepalliAdhip Sundar,,TXGA,5,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Kayden HossainHaochen Zhang Li,,NCANCA,7,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Vihaan DarbhaYeewei Yap,,NCTX,10,9,16,Round 1
2022 South Frisco ORC,2022-01-15/2022-01-17,BD U11,Krishiv DevgunZayn Arman Nallaguntla,,TXTX,14,9,16,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GD U11,Alice Meng [2]Sophia Sun,,NCANCA,4,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,GD U11,Janice Chen [1]Lexuan Wen,,NCANCA,1,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GD U11,Shraddha PrakashMithra Senthil Raja,,TXTX,2,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,GD U11,Adriel Ammy ChandranLilian Feng,,NJNJ,3,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Yifan Liu,5/8,NCA,25,1,1,Winner
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Rithik Rasamsetti,,NC,58,2,2,Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Terence Cai,5/8,NCA,40,3,3,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Vincent Chen,1,IL,1,4,4,Semi Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Anirud Veldanda,5/8,TX,9,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Aarya Vijay,3/4,TX,17,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Saatvik Shetty,,NCA,42,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Alex Wen,,NCA,53,5,8,Quarter Finals
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Allen Yang,WC,NCA,8,9,16,Round 3
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Carsten Lam,WC,NCA,13,9,16,Round 3
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Jonathan Wu,,NJ,21,9,16,Round 3
2022 South Frisco ORC,2022-01-15/2022-01-17,BS U13,Aryan Mohan,WC,NCA,31,9,16,Round 3
