tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Jacob Zhou,1,SCA,1,1,1,Winner
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Srineet Atluri,2,NC,32,2,2,Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Kayden Hossain,WC,NCA,20,3,3,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Varish Karri,3/4,TX,9,4,4,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Vishnu Anand,,NCA,7,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Taneesh Musunuru,WC,GA,13,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Adhip Sundar,3/4,GA,24,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Haochen Zhang Li,WC,NCA,28,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Mikael Chang,,NCA,11,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Jaylen Zhou,,NCA,15,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Phillip You,,SCA,17,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Charlie W Gao,,NCA,22,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Harrison Wenyu Zhang,,NCA,26,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Ethan Qiu,,NJ,29,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Sai Ratan Shankar,,GA,3,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Prathik Nemani,WC,NCA,5,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Siddharth Gummadi,,IL,8,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Wilson Liao,,NCA,12,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Anay Pranavkuma Shah,,NCA,16,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Vivaan Jinwala,,NCA,18,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Jaden Wang,,NCA,21,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Vihaan Vinod,,NCA,25,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BS U11,Landon Ling,,NCA,30,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Lexuan Wen,1,NCA,1,1,1,Winner
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Sophia Sun,2,NCA,32,2,2,Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Alice Meng,3/4,NCA,24,3,3,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Mihika Jaiswal,3/4,NCA,9,4,4,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Abhigna Parvathaneni,WC,NCA,5,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Stephanie Jiayi Song,WC,WA,13,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Janice Chen,WC,NCA,20,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Nityaa Jaiswal,WC,SCA,26,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Aradhana Santhosh,,GA,8,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Emily Chan,,NCA,15,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Sanjanaa V Priya,,NCA,17,9,16,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Alekhya Jalwadi,,TX,3,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Madison H Bach,,NCA,7,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Alice Luo,,NCA,11,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Netri Vasireddy,,NCA,16,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Riya Shriranga Naik,,NCA,18,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Mishka Jain,,NCA,22,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Ananya Mishra,,GA,25,17,32,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Sophia Liu,,NCA,28,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,GS U11,Anya Virmani,,NCA,30,17,32,Round 2
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Jacob Zhou [1]Sophia Sun,,SCANCA,1,1,1,Winner
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Srineet Atluri [2]Lexuan Wen,,NCNCA,16,2,2,Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Mikael ChangStephanie Jiayi Song,,NCAWA,9,3,3,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Landon Ling [WC]Janice Chen,,NCANCA,5,4,4,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Prathik NemaniAbhigna Parvathaneni,,NCANCA,3,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Taneesh MusunuruNityaa Jaiswal,,GASCA,8,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Varish Karri [WC]Mihika Jaiswal,,TXNCA,12,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Ethan QiuAlice Meng,,NJNCA,13,5,8,Quarter Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Adhip SundarAradhana Santhosh,,GAGA,4,9,16,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Vivaan JinwalaNetri Vasireddy,,NCANCA,7,9,16,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Jaylen ZhouAlice Luo,,NCANCA,10,9,16,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Anay Pranavkuma ShahMishka Jain,,NCANCA,11,9,16,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,XD U11,Kayden HossainSophia Liu,,NCANCA,14,9,16,Round 1
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BD U11,Ethan Qiu [2]Jacob Zhou,,NJSCA,16,1,1,Winner
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BD U11,Srineet Atluri [1]Varish Karri,,NCTX,1,2,2,Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BD U11,Mikael Chang [WC]Kayden Hossain,,NCANCA,5,3,3,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BD U11,Haochen Zhang Li [WC]Landon Ling,,NCANCA,12,4,4,Semi Finals
2022 Synergy NorCal ORC,2022-02-19/2022-02-21,BD U11,Siddharth GummadiJaden Wang,,ILNCA,10,5,8,Quarter Finals
