tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Srinivas Raghav Subash,,IL,21,1,1,Winner
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Aarya Vijay,3/4,TX,9,2,2,Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Vincent Chen,1,IL,1,3,3,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Jason Yang,,NCA,28,4,4,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Anirud Veldanda,,TX,8,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Gavin Le,,SCA,15,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Alex Wen,,NCA,17,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Christopher Gunawan,,SCA,29,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Clay Yang,,NCA,3,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Jayden Mar,,NCA,6,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Carsten Lam,,NCA,12,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Krish Raja,,NCA,13,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Seth Li,,NJ,20,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Terence Cai,3/4,NCA,24,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Ethan Wu,,SCA,26,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Mi Michael Liu,,NCA,4,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Nathan Lee,,TX,5,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Bhavesh SAI VARMA Tammu,,TX,7,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Ayaaz Muhammed Baig,,TX,11,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Allen w Yang,,NCA,14,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Brendan E Chen,,IL,16,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Varin Karri,,TX,18,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Aarav Bhandary,,TX,19,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Anish Bhandary,,TX,22,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Yichen Li,,NCA,23,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Sean Li,,NCA,25,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Anish Sai Gunupudi,,NC,27,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Thomas Cui,,MA,30,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BS,Rithik Rasamsetti,2,NC,32,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Annie Meng,,NCA,11,1,1,Winner
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Joanne Li,,NC,20,2,2,Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Aadya Pitani,1,VA,1,3,3,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Maggie Zang,2,SCA,32,4,4,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Kimaya Krishna,,VA,5,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Clarinda Jin,,IL,16,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Lindsey Li,,NCA,21,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Jennifer Bangcaya,,NCA,26,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Ishi Reddy,,IL,8,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Vivian Jiayue Song,,WA,18,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Tvisha Modi,,TX,3,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Saee Thorat,,NCA,7,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Aashi Gupta,3/4,TX,9,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Renee Leung,,SCA,12,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Tatthva Sharma,,TX,13,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Celine Ao,,WA,15,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Bernice Xu,,SCA,17,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Megha Reddy Challa,,NJ,22,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Camellia Wang,3/4,NCA,24,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Vivian Feng,,NJ,25,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Angela Wang,,SCA,28,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 GS,Adonia Anny Chandran,,NJ,30,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Aarya Vijay [1]Annie Meng,,TXNCA,1,1,1,Winner
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Srinivas Raghav SubashClarinda Jin,,ILIL,18,2,2,Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Seth LiKimaya Krishna,,NJVA,30,3,3,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Anirud VeldandaTvisha Modi,,TXTX,12,4,4,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Jason YangLindsey Li,,NCANCA,7,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Jayden MarMaggie Zang,,NCASCA,16,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Terence Cai [3/4]Joanne Li,,NCANC,24,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Sean LiJennifer Bangcaya,,NCANCA,26,5,8,Quarter Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Alex WenCamellia Wang,,NCANCA,22,9,16,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Brendan E ChenVivian Feng,,ILNJ,3,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Yichen LiAdonia Anny Chandran,,NCANJ,5,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Mi Michael LiuCeline Ao,,NCAWA,8,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Vincent Chen [3/4]Ishi Reddy,,ILIL,9,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Anish Sai GunupudiMegha Reddy Challa,,NCNJ,11,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Thomas CuiSaee Thorat,,MANCA,13,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Varin KarriAashi Gupta,,TXTX,15,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Carsten LamBernice Xu,,NCASCA,17,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Gavin LeAngela Wang,,SCASCA,20,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Bhavesh SAI VARMA TammuTatthva Sharma,,TXTX,21,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Ethan WuRenee Leung,,SCASCA,25,17,32,Round 1
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Allen w YangVivian Jiayue Song,,NCAWA,28,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 XD,Rithik Rasamsetti [2]Aadya Pitani,,NCVA,32,17,32,Round 2
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BD,Vincent Chen [1]Aarya Vijay,,ILTX,1,1,1,Winner
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BD,Gavin LeEthan Wu,,SCASCA,12,2,2,Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BD,Terence Cai [2]Jason Yang,,NCANCA,16,3,3,Semi Finals
2022 U.S. Selection Event,2022-04-15/2022-04-18,U13 BD,Seth LiRithik Rasamsetti,,NJNC,7,4,4,Semi Finals
