tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Luke Han,3/4,IL,33,1,1,Winner
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Anthony Cheng Xu,9/16,TX,104,2,2,Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Jacob Xiaochao Ma,,IL,81,3,3,Semi Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Aarav Gupta,,NC,13,4,4,Semi Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Mikael Chang,9/16,CA,25,5,8,Quarter Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Xi Cao,,MD,55,5,8,Quarter Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Varish Karri,5/8,TX,80,5,8,Quarter Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Ayaaz Muhammed Baig,9/16,TX,120,5,8,Quarter Finals
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Carsten Lam,1,CA,1,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Sai Ratan Shankar,5/8,GA,17,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Kayden Hossain,9/16,CA,41,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Srineet Atluri,9/16,NC,57,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Samiksh Talapally,,TX,65,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Thomas Cui,,MA,92,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Aditya Namboodiripad,5/8,VA,112,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Jonathan Wu,2,NJ,128,9,16,Round 4
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Nicolas Dolar,,NY,5,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Zisheng (GaoGao) Fan,9/16,MA,9,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Vaibhav Reddy Kommareddy,,TX,23,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Bhavesh SAI VARMA Tammu,,TX,31,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Vihaan Darbha,,NC,39,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Tao Peng,,CA,47,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Ethan Qiu,5/8,NJ,49,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Michael Liu,,MA,61,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Tanay Kankanala,,NC,70,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Steven Lei,,IL,74,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Taneesh Musunuru,9/16,GA,88,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Anish Sai Gunupudi,3/4,NC,96,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Ryan Shih,,MA,97,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Aakash Unnikrishnan,,TX,108,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Varad V Vaishnav,,TX,114,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Kerrick Linn Hu,,IL,122,17,32,Round 3
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Pranav Gyajangi,,IL,63,33,64,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Justin Dong,,NJ,3,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Lucas Liu,,MA,7,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Ishaan Goud,,NJ,11,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Jason Gu,,NY,15,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Matthew Luo,,NY,19,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Ori Proschitsky,,MA,21,65,128,Round 2
2023 NE ORC (U13/U15),2023-10-07/2023-10-09,BS U13,Henry Tan,,NJ,27,65,128,Round 2
