tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Ryan Chu,1,WA,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Jonathan Zhang,,CA,30,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Daiwik Reddy,3/4,CA,9,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Roger Kung,,WA,18,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Leonardo Hung,,WA,5,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Kevin Yu,,WA,15,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Evan Zhou,3/4,WA,24,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Andy Wu,,WA,26,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Terrance Xie,,OR,3,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Deekshith Vasanth,,OR,7,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Derek Huang,,WA,11,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Subram Sureshkumar,,or,13,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Naksh Shetty,,CA,16,17,32,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Riaan Badwaik,,,17,17,32,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Toby Liu,,,20,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Harshith Vasanth,,,22,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Quintus Zhang,,,28,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U11,Yunqi Chen,2,Washington,32,17,32,Round 2
2023 NW OLC,2023-04-28/2023-04-30,GS U11 - Position 1-4,Emily Chan,,CA,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,GS U11 - Position 1-4,Grace Eunhye Park,,Washington,4,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U11 - Position 1-4,Emma Yang,,California,3,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U11 - Position 1-4,Shaoxuan Gong,,CA,2,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U11,Ryan Chu [1]Grace Eunhye Park,,WAWashington,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,XD U11,Yunqi ChenEmily Chan,,WashingtonCA,4,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U11,Daiwik Reddy [2]Shaoxuan Gong,,CACA,2,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U11,Jonathan ZhangEmma Yang,,CACalifornia,3,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Daiwik ReddyJonathan Zhang,,CACA,3,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Yunqi Chen [2]Ryan Chu,,WashingtonWA,8,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Roger Kung [1]Kevin Yu,,WAWA,1,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Derek HuangEvan Zhou,,WAWA,5,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Ayan NoojiDeekshith Vasanth,,OROR,2,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Leonardo HungToby Liu,,WA,4,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Subram SureshkumarAndy Wu,,orWA,6,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BD U11,Terrance XieQuintus Zhang,,OR,7,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,William Geng,1,WA,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Dhruvan Karthik,3/4,CALIFORNIA,12,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Jaden D'Souza,3/4,WA,5,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Derek Royce Chan,,WA,13,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Joey Liu,,ca,4,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Sean Yang,,WASHINGTON,7,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Wilson Chen,,OR,9,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Steven Li,2,WA,16,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Daniel Bicheng Fong,,WA,2,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Charlie W Gao,,,3,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Srinivasa Pothu,,,6,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Ayan Nooji,,OR,8,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Karthi Gangavarapu,,,10,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Michael Yu,,WA,11,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Harry Wang,,WA,14,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,BS U13,Kabir Madiman,,,15,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Stephanie Jiayi Song,1,wa,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Saki Konishi Nip,,Washington,9,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Celine Ao,2,,16,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Iris Kuan,,WA,5,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Marissa Zhang,,WA,7,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Samyukta Karthik,,,14,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Anisha Rajesh,,WA,3,9,16,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Mihika Bapat,,OR,8,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Heidi Zhang,,,10,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Spriha Garg,,OR,12,9,16,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,GS U13,Anya Virmani,,CA,13,9,16,Round 1
2023 NW OLC,2023-04-28/2023-04-30,XD U13,William Geng [1]Stephanie Jiayi Song,,WAwa,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Derek Royce ChanIris Kuan,,WAWA,7,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Jaden D'SouzaSaki Konishi Nip,,WAWashington,3,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Karthi GangavarapuJasmine Vo,,,6,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Dhruvan KarthikSamyukta Karthik,,CALIFORNIA,2,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Joey LiuAnya Virmani,,caCA,4,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Michael YuAnisha Rajesh,,WAWA,5,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,XD U13,Steven Li [2]Marissa Zhang,,WAWA,8,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Leheng Xu,1,CA,1,1,1,Winner
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Andy W Gao,3/4,CA,24,2,2,Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Allen w Yang,2,CA,32,3,3,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Jayden Mar,,CA,16,4,4,Semi Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Shriariman Karthigayan,,CA,5,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Nathaniel Volfbeyn,3/4,WA,9,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Ethan Biren Fong,,Washington,17,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Devin Shao,,WA,28,5,8,Quarter Finals
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Ethan Chan,,CA,3,9,16,Round 2
2023 NW OLC,2023-04-28/2023-04-30,BS U15,Sujan Sureshkumar,,OR,7,9,16,Round 2
