tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2023 South CRC,2023-03-11/2023-03-12,BS U11,Yashas Cheerlavancha,,GA,7,1,1,Winner
2023 South CRC,2023-03-11/2023-03-12,BS U11,Surya Peechara,,NC,12,2,2,Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Srihari Shyam,,NC,3,3,3,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Arjun Rajkumar,2,GA,16,4,4,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Kartik Kanchi,,NC,9,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Arudh Sundar,,GA,14,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Vedhanth Kumar Kanthala,1,TX,1,9,16,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,David Zhang,,TX,5,9,16,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U11,Murari Nichenametla,,NC,8,9,16,Round 1
2023 South CRC,2023-03-11/2023-03-12,BS U11,Adithya Yeluguri,,GA,10,9,16,Round 1
2023 South CRC,2023-03-11/2023-03-12,BS U11,Sanjit Pravinkumar,,NC,13,9,16,Round 1
2023 South CRC,2023-03-11/2023-03-12,GS U11,Krishnavi Kasu,2,GA,4,1,1,Winner
2023 South CRC,2023-03-11/2023-03-12,GS U11,Samyuktha Tadinada,1,NC,1,2,2,Finals
2023 South CRC,2023-03-11/2023-03-12,GS U11,Chatur Shanigaram,,TX,2,3,3,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,GS U11,Thamizhini Vimalraj,,NC,3,4,4,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Yifei Zhang,2,TX,32,1,1,Winner
2023 South CRC,2023-03-11/2023-03-12,BS U13,Arjun Aditya Hariharan,,TX,6,2,2,Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Ayaaz Muhammed Baig,,TX,14,3,3,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Anish Sai Gunupudi,3/4,NC,24,4,4,Semi Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Tanay Kankanala,,NC,3,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Sai Ratan Shankar,3/4,GA,9,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Zaph J-Din Bayona,,TX,18,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Samarth Vikram Urs,,NC,27,5,8,Quarter Finals
2023 South CRC,2023-03-11/2023-03-12,BS U13,Dhev Sudheer,,TX,7,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Ishan Vinothkumar,,NC,12,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Yuvan Yadagiri,,GA,15,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Anthony Cheng Xu,,TX,19,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Yuancheng Li,,NC,21,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Vihaan Darbha,,NC,25,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Shreyansh Panda,,GA,30,9,16,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Taneesh Musunuru,1,GA,1,17,32,Round 2
2023 South CRC,2023-03-11/2023-03-12,BS U13,Neyan Purushothaman,,GA,4,17,32,Round 1
2023 South CRC,2023-03-11/2023-03-12,BS U13,Tharun Katharnath,,GA,5,17,32,Round 1
2023 South CRC,2023-03-11/2023-03-12,BS U13,Varish Kunisetty,,NC,8,17,32,Round 1
2023 South CRC,2023-03-11/2023-03-12,BS U13,Adhip Sundar,,GA,10,17,32,Round 1
