tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Magadheesan Velu,2,TN,32,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Adrian Zhang,3/4,IL,9,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Amogh Lanka,1,TX,1,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Pradhyumn Surendran,3/4,IL,24,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Joseph Yedidiyah Pohan,,IL,7,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Ayaan Kale,,TX,14,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Darmikh Pallabothula,,TX,20,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Daksh Thakur,,TX,25,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Luke Wen,,IN,3,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aaron Zhang Ge,,MN,5,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Srinivas Shankar,,TX,12,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Devaansh Surpur,,TX,16,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Avyukth Reddy Pati,,TX,17,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Lukas Ye,,MN,21,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Tingxin Tan,,IL,27,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Nathan Huang,,MN,30,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aahir Sehgal,,IL,4,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Vivaan Chaudhary,,IN,6,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Akhil Sivakumar,,TN,8,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Allen Wang,,TX,10,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aiden Yu,,MN,11,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Asrith Addanki,,IL,13,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Shrihan Reddy Vennapusa,,MI,15,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Peter Lei,,IL,18,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aswath Addanki,,IL,19,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aaditya Lanka,,TX,22,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Nithish Krishnaa Rajiv,,MI,23,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Hrishikesh Gollamudi,,IN,26,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Tanush Jaltar,,TX,28,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Aayush Jaltar,,TX,29,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U11,Felix Zhou,,IL,31,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Ivy Chang,2,IL,32,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Fiona Liu,,TX,16,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Rachel Yuezhi Xu,1,IL,1,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Sahasra Nali,,IL,20,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Ellen Ouyang,,IL,8,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Samyutha Aluri,3/4,NC,9,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Ananya Kumar,,TX,21,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Chaarvi Telikuntla,,TX,26,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Emily Feng,,TX,17,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Sophie Che,,IL,3,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Sahasra Samarthy,,IL,5,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Mariia Filimonova,,MI,7,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Annabeth Pan,,MN,11,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Catherine Chen,,IL,13,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Venya Pamidimukkala,,IL,15,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Victoria A Liu,,MN,18,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Sarah Xie,,IL,22,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Pearl Li,3/4,IL,24,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Aanya Latne,,IL,25,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Ningxi Huang,,MN,28,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GS U11,Olivia Zhang,,IL,30,17,32,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Magadheesan Velu [2]Samyutha Aluri,,TNNC,16,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Adrian Zhang [1]Rachel Yuezhi Xu,,ILIL,1,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Allen Wang [3/4]Fiona Liu,,TXTX,12,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Luke WenAanya Latne,,INIL,7,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Asrith AddankiSahasra Nali,,ILIL,4,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Lukas Ye [3/4]Victoria A Liu,,MNMN,5,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Shrihan Reddy VennapusaMariia Filimonova,,MIMI,10,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Pradhyumn SurendranCatherine Chen,,ILIL,13,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Aaron Zhang GeAnnabeth Pan,,MNMN,2,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Hrishikesh GollamudiSahasra Samarthy,,INIL,3,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Tingxin TanSarah Xie,,ILIL,6,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Peter LeiPearl Li,,ILIL,8,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Nathan HuangNingxi Huang,,MNMN,9,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Ayaan KaleAnanya Kumar,,TXTX,11,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Darmikh PallabothulaEmily Feng,,TXTX,14,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,XD U11,Aswath AddankiVenya Pamidimukkala,,ILIL,15,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Amogh Lanka [2]Mokshagna Surpur,,TXTX,16,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Magadheesan Velu [1]Adrian Zhang,,TNIL,1,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Ayaan KaleAvyukth Reddy Pati,,TXTX,11,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Asrith AddankiAswath Addanki,,ILIL,6,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Nathan HuangLukas Ye,,MNMN,3,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Tanush JaltarAaditya Lanka,,TXTX,8,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Peter LeiJoseph Yedidiyah Pohan,,ILIL,9,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Darmikh PallabothulaPradhyumn Surendran,,TXIL,14,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Aayush JaltarDevaansh Surpur,,TXTX,4,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Tingxin TanFelix Zhou,,ILIL,5,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Vivaan ChaudharyAkhil Sivakumar,,INTN,7,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Aaron Zhang GeAiden Yu,,MNMN,10,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Nithish Krishnaa RajivShrihan Reddy Vennapusa,,MIMI,12,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Srinivas ShankarDaksh Thakur,,TXTX,13,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BD U11,Hrishikesh GollamudiLuke Wen,,ININ,15,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Mandy Lu [1]Rachel Yuezhi Xu,,NYIL,1,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Samyutha Aluri [2]Fiona Liu,,NCTX,16,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Aanya LatnePearl Li,,ILIL,10,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Mariia FilimonovaAnnabeth Pan,,MIMN,7,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Sahasra NaliEllen Ouyang,,ILIL,14,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Ivy ChangCatherine Chen,,ILIL,3,9,16,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Sophie CheOlivia Zhang,,ILIL,5,9,16,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Emily FengSahasra Samarthy,,TXIL,8,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Venya PamidimukkalaSarah Xie,,ILIL,9,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Ananya KumarChaarvi Telikuntla,,TXTX,12,9,16,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,GD U11,Ningxi HuangVictoria A Liu,,MNMN,13,9,16,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Shaurya Maddela,1,TX,1,1,1,Winner
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Shashank Vandavasi,,IL,17,2,2,Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Yeewei Yap,3/4,TX,9,3,3,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Tinghao Tan,,IL,27,4,4,Semi Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Lucas Lu,,IL,5,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Bavish Reddi Dornala,,IL,14,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Mokshagna Surpur,,TX,21,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Bryce Xie,2,NY,32,5,8,Quarter Finals
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Nithesh Madishetti,,IL,4,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Caleb Wei,,IN,7,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Sunny Zheng,,IL,12,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,John (Jack) Schlismann,,IL,16,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Jack Richards,,IL,19,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Zechariah Wang,3/4,NY,24,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Bala Sabarish Venkatakrishnan,,MI,26,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Vihaan Bahl,,IL,30,9,16,Round 2
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Advik Rai,,IL,3,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Akindu Wanigasooriya,,IL,6,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Daniil Filimonov,,MI,8,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Jaisukh Reddy Ankilla,,MI,11,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Nayan Mangu,,IL,13,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Bailey Yi,,IN,15,17,32,Round 1
2024 MBC Midwest OLC,2024-11-23/2024-11-24,BS U13,Luke Fan,,IL,18,17,32,Round 1
