tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Adithya Yeluguri,1,,1,1,1,Winner
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Ritvik Singh,,,22,2,2,Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Velu Magadheesan,4,,9,3,3,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Aadiv Raj,2,,32,4,4,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Ayaan Kale,,,8,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Alexander Joseph,,,13,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Akhil Sivakumar,,,18,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Arudh Sundar,,,25,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Aarav Muthu Rajavel,,,15,9,16,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Advith Karnam,,,3,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Karthik Mummadi,,,5,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Chetan Arnoori,,,7,17,32,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Venkata Sai Sreekar Kondamuri,,,11,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Kushal L,,,16,17,32,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Rohith Rengadurai,,,17,17,32,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Rishan Prajeeb,,,20,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Abhinav Yadagiri,3,,24,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Aarav Juven Prabhu,,,26,17,32,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Surya Sivaprakash,,,28,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U11,Kavin Purushothaman,,,30,17,32,Round 2
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U11,Fiona Liu,2,,4,1,1,Winner
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U11,Samyutha Aluri,1,,1,2,2,Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U11,Alisa Joseph,,,2,3,3,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U11,Bhavanyaa Arunkumar,,,3,4,4,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Aadiv Raj [1]Adithya Yeluguri,,,1,1,1,Winner
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Alexander JosephArudh Sundar,,,10,2,2,Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Ayaan Kale [2]Abhinav Yadagiri,,,16,3,3,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Karthik MummadiRishan Prajeeb,,,5,4,4,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Chetan ArnooriVenkata Sai Sreekar Kondamuri,,,3,9,16,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Kushal LSurya Sivaprakash,,,7,9,16,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Aarav Muthu RajavelKavin Purushothaman,,,9,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Aarav Juven PrabhuRohith Rengadurai,,,12,9,16,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BD U11,Velu MagadheesanAkhil Sivakumar,,,14,9,16,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Yashas Cheerlavancha,2,,16,1,1,Winner
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Bivab Chandra,,,4,2,2,Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Shreyansh Panda,,,12,3,3,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Lohith Reddy Arava,,,8,4,4,Semi Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Arjun Rajkumar,,,5,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Yuvan Yadagiri,,,10,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Tejas Thatipatri,,,14,5,8,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Tanay Kankanala,1,,1,9,16,Quarter Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Harshit Thavidishetty,,,3,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Tapaswin Gandhavalla,,,6,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Nevin Paul,,,7,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Neyan Purushothaman,,,9,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Mark Chen,,,11,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Aadhityah Rajagopalan,,,13,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,BS U13,Lokaditya Dappili,,,15,9,16,Round 1
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U13,Nila Ramesh,2,,16,1,1,Winner
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U13,Aradhana Santhosh,,,5,2,2,Finals
2024 South OLC (Nets & Turf),2024-06-07/2024-06-09,GS U13,Sankeerthi Marasani,,,3,3,3,Semi Finals
