tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Michael Sun,1,NCA,1,1,1,Winner
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Anirudh Rudharraju,2,VA,64,2,2,Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Vignan Chandrasekaran,3/4,TX,48,3,3,Semi Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Leo Ye,5/8,NCA,25,4,4,Semi Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Kennedy Y Wu,5/8,NCA,9,5,8,Quarter Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Sreeskandan Saravanan,,MA,24,5,8,Quarter Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Bryce Xie,,NY,34,5,8,Quarter Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Reyansh Chalamalasetti,5/8,TX,56,5,8,Quarter Finals
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Zechariah Wang,,NY,7,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Virat Satish,,MA,13,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Eli You,3/4,NCA,17,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Aayush Jaladurgam,,TX,29,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Leslie Wang,5/8,SCA,40,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Satvikram Parvathaneni,,NCA,43,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Vedhanth Kumar Kanthala,,TX,49,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Kartik Kanchi,,NC,60,9,16,Round 3
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Atharva Abhijith,,NCA,4,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Mokshagna Surpur,,TX,5,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Derek Huang,,WA,11,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Sahas Arunkumar,,TX,15,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Ethan Yin,,TX,20,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Justin Yang,,NCA,22,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,David Zhang,,TX,27,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Aaron Thomas Nitish,,TX,32,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Marcus K Chua,,VA,36,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Adrian Zhang,,IL,38,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Aiden Wu,,SCA,42,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Amogh Lanka,,TX,46,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Jeremy Wang,,SCA,51,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Iniyan Arun,,NCA,53,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Matthew Zhang,,MA,57,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Felix Liu,,MA,62,17,32,Round 2
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Cyrus M Cai,,NY,3,33,64,Round 1
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Vidruth Arun,,NCA,6,33,64,Round 1
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Eli Darmawan,,TX,8,33,64,Round 1
2024 Frisco South ORC,2024-01-13/2024-01-15,BS U11,Kyle Chen,,TX,10,33,64,Round 1
