tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Adithya Yeluguri,,GA,11,1,1,Winner
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Kartik Kanchi,1,NC,1,2,2,Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Srihari Shyam,3/4,NC,5,3,3,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Amogh Lanka,2,TX,16,4,4,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Jaden Ni,,NC,3,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Advith Karnam,,GA,8,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,David Zhang,,TX,9,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Karthik Mummadi,,NC,14,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Franklin Xu Cheng,,TX,2,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Rohith Rengadurai,,GA,4,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Velu Magadheesan,,TN,6,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Arudh Sundar,,GA,7,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Abhinav Yadagiri,,GA,10,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Aadiv Raj,3/4,NC,12,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Murari Nichenametla,,NC,13,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U11,Devansh Ponnapalli,,GA,15,9,16,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BD U11,Kartik Kanchi [2]Adithya Yeluguri,,NCGA,4,1,1,Winner
2024 South CRC (TBTT),2024-03-09/2024-03-10,BD U11,Amogh Lanka [1]Aadiv Raj,,TXNC,1,2,2,Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BD U11,Advith KarnamDevansh Ponnapalli,,GAGA,2,3,3,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BD U11,Arudh SundarAbhinav Yadagiri,,GAGA,3,4,4,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Adhip Sundar,2,GA,32,1,1,Winner
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Tanay Kankanala,3/4,NC,9,2,2,Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Peiqi Guo,,NC,3,3,3,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Yashas Cheerlavancha,3/4,GA,24,4,4,Semi Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Arjun Rajkumar,,GA,7,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Varish Kunisetty,,NC,16,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Surya Peechara,,NC,20,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Yeewei Yap,,TX,25,5,8,Quarter Finals
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Weston Lee,,TX,5,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Bivab Chandra,,GA,11,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Tushaar Praveen,,GA,13,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Sajith Kamal,,GA,17,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Aryadit Patra,,TX,21,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Shreyansh Panda,,GA,27,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Vihaan Darbha,,NC,29,9,16,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Sai Ratan Shankar,1,GA,1,17,32,Round 2
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Tharun Katharnath,,GA,4,17,32,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Sanjit Pravinkumar,,NC,6,17,32,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Lohith Reddy Arava,,NC,8,17,32,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Yuvan Yadagiri,,GA,12,17,32,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Samarth Pandey,,NC,14,17,32,Round 1
2024 South CRC (TBTT),2024-03-09/2024-03-10,BS U13,Gautam Vasanth Raj,,TX,15,17,32,Round 1
