tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Naksh Shetty,1,SYN,1,1,1,Winner
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Devaansh Mahato,5/8,SYN,40,2,2,Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Shrihayagrivan Karthigayan,3/4,SYN,17,3,3,Semi Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Mingyuan Zang,2,HFB,64,4,4,Semi Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Pradhyumn Surendran,5/8,MBC,9,5,8,Quarter Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Adrian Zhang,5/8,EGR,25,5,8,Quarter Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Neel Achari,,PBC,42,5,8,Quarter Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Timmy Qinnuo Fan,,USBA,50,5,8,Quarter Finals
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Niranjan Rajasekaran,,RBA,7,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Ethan Li,,NJBC,15,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Reo Qian Bao,,PBC,21,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Franklin Xu Cheng,,HBA,29,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Zack Nguyen,,GBA,33,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Keaton Ou,3/4,WZQ,48,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Toby Liu,5/8,SYN,56,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Nirav Proddaturi,,BIN,60,9,16,Round 3
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Marcus Chen,,BIN,3,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Mason Lee,,LJBBC,5,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Xintong Darren Lu,,NJBC,11,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Ehren Bolbrugge,,WA,13,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Ishan Goswami,,FFB,19,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Tejesh Talanki,,OR,23,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Owen Wang,,IBC,27,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Harshith Vasanth,,OBA,31,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Vincent Xiaoyuan Zhang,,EBC,36,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Chris Lin,,HBA,38,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Kaishi Yang,,BBC,44,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Nikshit Venkata Aarush Karri,,FFB,46,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Eden Wong,,HFB,52,17,32,Round 2
2025 YONEX Bellevue NW ORC,2025-08-30/2025-09-01,BS U11,Kabir Dubey,,FFB,54,17,32,Round 2
