tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Virat Satish,1,MA,1,1,1,Winner
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Magadheesan Velu,2,,64,2,2,Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Boqian Zheng,5/8,CA,25,3,3,Semi Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Ishan Golen,,FL,36,4,4,Semi Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Keaton Ou,5/8,California,9,5,8,Quarter Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Pradhyumn Surendran,,Illinois,22,5,8,Quarter Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Udbhav H Ram,,TEXAS,43,5,8,Quarter Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Mingyuan Zang,5/8,CA,56,5,8,Quarter Finals
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Franklin Xu Cheng,,TX,5,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Devansh Ponnapalli,,Georgia,14,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Fonghong Lin,3/4,TX,17,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Niranjan Rajasekaran,,VA,31,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Adrian Zhang,,ILLINOIS,38,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Naksh Shetty,3/4,CA,48,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Zack Nguyen,,,52,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Nandan Mallela,,California,60,9,16,Round 3
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Srihari Shyam,,NC,3,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Owen Wang,,OR,7,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Arudh Sundar,,,12,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Arjun Kasu,,,15,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Ayaan Kale,,TX,19,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Marcus Chen,,CA,24,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Chris Lin,,TX,27,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Justin Yang,,CA,30,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Abhinav Yadagiri,,GA,33,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Shrihayagrivan Karthigayan,5/8,CA,40,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Akhil Sivakumar,,Tennessee,42,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Bowen Wang,,California,46,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Neel Achari,,,50,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Reo Qian Bao,,TX,54,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Timmy Qinnuo Fan,,CA,58,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Eli Darmawan,,Texas,61,17,32,Round 2
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Devaansh Mahato,,California,4,33,64,Round 1
2025 DFW South ORC / Shonai,2025-02-15/2025-02-17,BS U11,Harry H Song,,Texas,6,33,64,Round 1
