tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Avyukth Reddy Pati,1,TX,1,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Arudh Sundar,2,GA,32,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Devaansh Surpur,3/4,TX,24,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Devansh Ponnapalli,3/4,GA,9,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Hitesh Narasimha Vaddi,,NC,5,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Abhiram Pokuri,,GA,16,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Akhil Sivakumar,,TN,20,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Tanush Jaltar,,TX,26,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Pardhu Pathuri,,NC,3,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Agastya Vadarevu Srikanta,,SC,7,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Aaditya Lanka,,TX,11,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Pradvik Prabhu,,NC,18,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Aadithya Pranav Pamarthi,,SC,22,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Mehan Murthysundar,,NC,30,9,16,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Ashwath Rongala,,GA,4,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Sujay Nanda Rongali,,GA,8,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Izaac Schuenemann,,NC,12,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Ayushram Reddy Keshidi [],,NC,13,17,32,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Adhvik Ramakrishnan,,NC,15,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Hemanth Paritala,,GA,17,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Jason Fang,,NC,19,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Vaasvik Potluri,,GA,21,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Amogh Dandekar,,GA,25,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Ishaan Reddy Cirra,,NC,28,17,32,Round 2
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U11,Suhan Nuka,,SC,29,17,32,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Vihaa Reddy Keesara,1,TX,1,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Adalyn Puah,,TX,10,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Bhavanyaa Arunkumar,,GA,8,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Ariel An,2,TX,16,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Kiana Natalia Winarto,,NC,4,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Diya Vikram,,TX,6,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Deethya Marri,,GA,11,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Sloka Darbha,,NC,14,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Shanaya Dhanorkar,,GA,3,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Adhya Santhoshkumar,,NC,5,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Lianne Tang,,NC,7,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Sai Vishnupriya Chennupati,,NC,9,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Anamithraa Omprakash,,SC,12,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,GS U11,Shanvika Vijay,,GA,13,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Avyukth Reddy Pati [1]Vihaa Reddy Keesara,,TXTX,1,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Neel AchariAdalyn Puah,,TXTX,10,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Abhinav YadagiriBhavanyaa Arunkumar,,GAGA,5,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Devaansh Surpur [2]Ariel An,,TXTX,16,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Tanush JaltarDiya Vikram,,TXTX,7,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Mehan MurthysundarSai Vishnupriya Chennupati,,NCNC,14,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Ayushram Reddy Keshidi []Lianne Tang,,NCNC,3,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Pardhu PathuriSloka Darbha,,NCNC,8,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Vaasvik PotluriDeethya Marri,,GAGA,9,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Izaac SchuenemannKiana Natalia Winarto,,NCNC,12,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,XD U11,Amogh DandekarShanvika Vijay,,GAGA,13,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Neel Achari [1]Devaansh Surpur,,TXTX,1,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Devansh Ponnapalli [2]Arudh Sundar,,GAGA,16,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Mehan MurthysundarAkhil Sivakumar,,NCTN,7,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Tanush JaltarAaditya Lanka,,TXTX,9,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Ishaan Reddy CirraAgastya Vadarevu Srikanta,,NCSC,3,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Abhiram PokuriSujay Nanda Rongali,,GAGA,5,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Jason FangIzaac Schuenemann,,NCNC,8,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Pardhu PathuriPradvik Prabhu,,NCNC,10,9,16,Round 1
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Vaasvik PotluriAshwath Rongala,,GAGA,12,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BD U11,Suhan NukaAdhvik Ramakrishnan,,SCNC,14,9,16,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GD U11 - Position 1-4,Adalyn Puah [1]Riana Soprala,,TXTX,1,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,GD U11 - Position 1-4,Sai Vishnupriya ChennupatiLianne Tang,,NCNC,3,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GD U11 - Position 1-4,Ariel An [2]Vihaa Reddy Keesara,,TXTX,4,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,GD U11 - Position 1-4,Shanaya DhanorkarShanvika Vijay,,GAGA,2,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Adithya Yeluguri,3/4,GA,48,1,1,Winner
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Amogh Lanka,3/4,TX,17,2,2,Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Ritvik Singh,,GA,3,3,3,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,William Chen,5/8,MA,56,4,4,Semi Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Arjun Rajkumar,,GA,13,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Tapaswin Gandhavalla,,NC,31,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Aarav Muthu Rajavel,,GA,33,5,8,Quarter Finals
2025 Fortius South CRC,2025-12-05/2025-12-07,BS U13,Neel Achari,2,TX,64,5,8,Quarter Finals
