tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Kaishi Yang,2,BEL,16,1,1,Winner
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Marcus Chen,,BIN,5,2,2,Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Toby Liu,1,SYN,1,3,3,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Owen Wang,,03 IBC,9,4,4,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Nandan Mallela,,BIN,4,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Matthew Alexander Lau,,HBB,8,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Tyler Jiang,,BIN,12,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Jia-An Li,,-,13,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Harshith Vasanth,,OBA,3,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Andy Liu,,BEL,6,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Tejesh Talanki,,NA,7,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Riaan Badwaik,,OBA,10,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Reyan Rastogi,,SBC,11,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Sufiyaan SIDDIQUI Mohammed,,OBA,14,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U11,Jake Shi,,BIN,15,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,GS U11,Kira Chu,2,BEL,4,1,1,Winner
2025 OBA NW OLC,2025-04-26/2025-04-27,GS U11,Nina Kuan,1,BEL,1,2,2,Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,GS U11,Yvonne Chen Yang,,03 IBC,3,3,3,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,GS U11,Enya Yu,,None,2,4,4,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,XD U11,Toby Liu [1]Nina Kuan,,SYNBEL,1,1,1,Winner
2025 OBA NW OLC,2025-04-26/2025-04-27,XD U11,Kaishi Yang [2]Kira Chu,,BELBEL,4,2,2,Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,XD U11,Owen WangYvonne Chen Yang,,03 IBC03 IBC,3,3,3,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,XD U11,Andy LiuEnya Yu,,BELNone,2,4,4,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Ryan Chu,1,BEL,1,1,1,Winner
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Derek Huang,2,BEL,16,2,2,Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Andy Starostin,,SBC,6,3,3,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Saihaan Ullah siddiqui Mohammed,,OBA,10,4,4,Semi Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Stephen Huang,,SBC,3,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Roger Kung,,SBC,7,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Raymond Wang,,SBC,12,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Leonardo Hung,,SBC,14,5,8,Quarter Finals
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Deekshith Vasanth,,OBA,4,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Allen Wu,,SYN,5,9,16,Round 1
2025 OBA NW OLC,2025-04-26/2025-04-27,BS U13,Evan Zhou,,BEL,8,9,16,Round 1
