tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Keaton Ou,1,WZQ,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Bowen Wang,3/4,WZQ,24,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Zack Nguyen,2,GBA,32,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,William Lin,3/4,MBBC,9,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Jonathan Alexander surya Putra,,GBA,7,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Yueyang Wang,,GBA,15,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Ethan Li,,GBA,18,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Zelvin Kim,,WZQ,28,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Jayden Chen,,USAB,21,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Kevin Liu,,STAR,26,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Miles Bacani,,SGVBC,3,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Havish Arunkumar,,USAB,5,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Kevin Zhang,,WZQ,8,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Daniel T Lee,,HANA,11,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Alfred Nico Sam,,STAR,13,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Stanley Wang,,WZQ,16,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Lucas Zhang,,MBBC,17,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Alex Lu,,HANA,20,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Fioro Huang,,STAR,22,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Thomas Ho,,GBA,25,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U11,Jacob Zhang,,MBBC,30,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Grace Wang,1,WZQ,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Kylie Ou,,WZQ,10,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Vedasri Saanvi Puppala,,HANA,7,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Julia Zhang,2,GBA,16,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Mia Bacani,,SGVBC,3,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Emma Liu,,WZQ,14,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Ashley Ma,,GBA,4,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Emily Chiang,,GBA,5,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Tia C Chen,,WZQ,8,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Alina Ma,,GBA,9,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Madison Yerim Kim,,HANA,12,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U11,Elena Yang,,MBBC,13,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Keaton Ou [1]Grace Wang,,WZQWZQ,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Bowen WangKylie Ou,,WZQWZQ,14,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,William LinVedasri Saanvi Puppala,,MBBCHANA,12,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Yueyang WangTia C Chen,,GBAWZQ,7,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Jayden ChenMadison Yerim Kim,,USABHANA,10,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Fioro HuangMia Bacani,,STARSGVBC,3,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Jonathan Alexander surya PutraJulia Zhang,,GBAGBA,5,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Jacob ZhangElena Yang,,MBBCMBBC,8,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Thomas HoEmily Chiang,,GBAGBA,9,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U11,Danny Luo [2]Nova Zhang,,MBBCMBBC,16,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Zack Nguyen [1]Keaton Ou,,GBAWZQ,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,William LinDanny Luo,,MBBCMBBC,12,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Jonathan Alexander surya Putra [2]Yueyang Wang,,GBAGBA,16,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Aaron DengKevin Zhang,,WZQWZQ,7,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Zelvin KimBowen Wang,,WZQWZQ,9,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Thomas HoEthan Li,,GBAGBA,3,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Jacob ZhangLucas Zhang,,MBBCMBBC,5,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Fioro HuangKevin Liu,,STARSTAR,8,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Miles BacaniAlfred Nico Sam,,SGVBCSTAR,10,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U11,Havish ArunkumarJayden Chen,,USABUSAB,14,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Leslie Wang,2,WZQ,32,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Aiden Wu,,STAR,5,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Jeremy Wang,,HANA,16,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Siming(Alan) Qu,,HANA,20,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Mingyuan Zang,1,HFB,1,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Ryan Li,3/4,GBA,9,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Michael Chen,3/4,GBA,24,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Junjie Lao,,No Club,26,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Finley L Lin-Gracey,,ABC,4,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Aiden Liu,,HANA,7,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Mohith Sai K Prathipati,,SMASH,12,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Luke Ai,,ABC,18,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Eden Wong,,HFB,22,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Ray Qiu,,ABC,30,9,16,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Derek Sun,,WZQ,3,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Lucas Wang,,GBA,8,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Benjamin Tsai,,ABC,11,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Lauren Leung,,SGVBC,13,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Leo Huang,,GBA,15,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Gordon Guan,,USAB,17,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Austin Liam Sam,,STAR,21,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Danny Luo,,MBBC,25,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Hao Yin,,GBA,28,17,32,Round 2
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BS U13,Xirui Qiu,,GBA,29,17,32,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Yuki Guan,,ABC,12,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Kandice Chu,,GBA,6,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Joanna Deng,1,WZQ,1,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Nova Zhang,2,MBBC,16,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Emily Xu,,ASTRO,3,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Crystal Sun,,STAR,8,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Joanna Zhang,,GBA,10,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Ivy Taing,,HANA,13,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Katherine Chiang,,GBA,4,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Paris Liang,,ABC,5,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Chloe Sun,,GBA,7,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Coco Guo,,STAR,9,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Diana Liu,,GBA,11,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,GS U13,Christina W Qin,,GBA,14,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Leslie Wang [1]Yuki Guan,,WZQABC,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Jeremy Wang [2]Joanna Deng,,HANAWZQ,16,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Aiden WuCrystal Sun,,STARSTAR,12,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Ryan LiKandice Chu,,GBAGBA,8,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Derek SunParis Liang,,WZQABC,10,5,8,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Michael ChenEmily Xu,,GBAASTRO,3,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Eden WongJoanna Zhang,,HFBGBA,5,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Austin Liam SamCoco Guo,,STARSTAR,7,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Lucas WangChristina W Qin,,GBAGBA,9,9,16,Round 1
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,XD U13,Leo HuangKatherine Chiang,,GBAGBA,14,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Jeremy Wang [1]Leslie Wang,,HANAWZQ,1,1,1,Winner
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Aiden LiuSiming(Alan) Qu,,HANAHANA,10,2,2,Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Michael ChenAiden Wu,,GBASTAR,8,3,3,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Eden Wong [2]Mingyuan Zang,,HFBHFB,16,4,4,Semi Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Leo HuangLucas Wang,,GBAGBA,3,9,16,Quarter Finals
2025 SGVBC SoCal CRC,2025-12-06/2025-12-07,BD U13,Gordon GuanLauren Leung,,USABSGVBC,5,9,16,Quarter Finals
