tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Naksh Shetty,3/4,,48,1,1,Winner
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Virat Satish,1,,1,2,2,Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Magadheesan Velu,2,,64,3,3,Semi Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Boqian Zheng,3/4,,17,4,4,Semi Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Shrihayagrivan Karthigayan,5/8,,9,5,8,Quarter Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Ayaan Kale,,,29,5,8,Quarter Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Srihari Shyam,,,39,5,8,Quarter Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Mingyuan Zang,5/8,,56,5,8,Quarter Finals
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Chris Lin,,,5,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Niranjan Rajasekaran,,,14,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Adrian Zhang,,,23,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Neel Achari,,,26,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Alexander Joseph,,,33,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Shubhan Sarikonda,,,44,9,16,Round 3
2025 YONEX SPBA Midwest ORC,2025-05-24/2025-05-26,BS U11,Kaishi Yang,,,51,9,16,Round 3
