tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Harshith Vasanth,1,,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Tejesh Talanki,,Oregon,16,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Viren Balaji,,WA,7,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Sai Kruthik Kallakuri,,Washington,12,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Zachary Hung,,WA,10,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Aiden Starostin,,,3,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Andrew Cen,,Washington,5,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Edward Yi,,,8,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Samarth Singh,,WA,9,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U11,Oliver Ziheng Wang,,WA,14,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U11,Yvonne Chen Yang,,,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U11,Yuwen Qu,,,4,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U11,Hannah Jung-I Hsu,,WA,2,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U11,Claire Cao,,,3,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Derek Huang,1,WA,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Roger Kung,3/4,WA,24,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Kaishi Yang,2,WA,32,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Brayden Liu,,WA,15,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Aadidev Rijosh,,,8,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Ishan Goswami,3/4,WA,9,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Yagna Maheshwari,,Washington,20,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Nikshit Venkata Aarush Karri,,Washington,28,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Andy Liu,,WA,18,9,16,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Kabir Dubey,,,22,9,16,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Arjun Prashanth,,Washington,25,9,16,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Maheep Singh Nanrhay,,WA,3,17,32,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Aarav Dinesh Kumar,,WA,5,17,32,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Shankar Namboothiri,,WA,7,17,32,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Owen Wang,,OR,11,17,32,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Kailash Gayathri Harish,,WA,13,17,32,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Aadvik Vakicherla,,Washington,16,17,32,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Yang Wang,,Washington,17,17,32,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Max Chen-Yu Hsu,,WA,21,17,32,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Sota Katafuchi,,WA,26,17,32,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,BS U13,Sriyaansh Gandavarapu,,,30,17,32,Round 2
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Nina Kuan,1,WA,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Eleena Ling,,WA,9,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Amelia Goey,,WA,14,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Sai Nakshatra Prabhu,,,8,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Harini Karthikeyan,,WA,4,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Viha Apte,,Washington,11,5,8,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Jessica Cui,,OR,3,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Mira Y. Lan,,Washington,5,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Vihana Azhakan,,Oregon,7,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Sudeeksha Naveen,,WA,10,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Amber Song,,OR,12,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Shanaya Dhiman,,,13,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,GS U13,Serena Li,2,WA,16,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Derek Huang [1]Seanna Yang,,WAWA,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Kaishi Yang [2]Serena Li,,WAWA,16,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Brayden LiuNina Kuan,,WAWA,7,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Andy LiuEleena Ling,,WAWA,10,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Aadvik VakicherlaViha Apte,,WashingtonWashington,3,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Yang WangMira Y. Lan,,WashingtonWashington,5,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Max Chen-Yu HsuVihana Azhakan,,WAOregon,9,9,16,Round 1
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Ishan GoswamiSai Nakshatra Prabhu,,WA,12,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,XD U13,Owen WangYvonne Chen Yang,,OR,14,9,16,Quarter Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BD U13,Roger KungKaishi Yang,,WAWA,1,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,BD U13,Ishan GoswamiAadvik Vakicherla,,WAWashington,4,2,2,Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BD U13,Andy LiuOwen Wang,,WAOR,2,3,3,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,BD U13,Kabir DubeyNikshit Venkata Aarush Karri,,Washington,3,4,4,Semi Finals
2026 Seattle NW CRC,2026-02-21/2026-02-22,GD U13,Nina KuanSerena Li,,WAWA,4,1,1,Winner
2026 Seattle NW CRC,2026-02-21/2026-02-22,GD U13,Amelia GoeyYvonne Chen Yang,,WA,1,2,2,Finals
